model,timeframe,dtype,coef,ci_lower,ci_upper,se
ipcc_1990_average,1990-2024,model_time,0.025770308123249222,0.02480886626476548,0.026731749981732965,0.0004905315604508891
ipcc_1990_average,1990-2024,model_forcing,0.4017348256548099,0.3880864823043505,0.4153831690052693,0.006963440484928261
ipcc_1990_upper,1990-2024,model_time,0.03785994397759092,0.03513267943783892,0.04058720851734292,0.0013914614998734695
ipcc_1990_upper,1990-2024,model_forcing,0.590582386093791,0.5706049685063506,0.6105598036812314,0.010192559993592054
mitchell_1990,1989-2024,model_time,0.016333279969498016,0.014336153528940722,0.01833040641005531,0.0010189420615088233
mitchell_1990,1989-2024,model_forcing,0.30053235143876444,0.2699391660164959,0.33112553686103297,0.015608768072585981
rotmans_1990_lower,1990-2024,model_time,0.00813376537086833,-0.00022872716471833768,0.016496257906455,0.004266577824278913
rotmans_1990_lower,1990-2024,model_forcing,0.3823764614388505,0.3271681464331566,0.4375847764445444,0.028167507655966276
rotmans_1990_median,1990-2024,model_time,0.008959799172969171,-0.0021134552909195317,0.020033053636857874,0.005649619624433012
rotmans_1990_median,1990-2024,model_forcing,0.4214525917441188,0.34215188861633206,0.5007532948719056,0.0404595424121361
rotmans_1990_upper,1990-2024,model_time,0.00978583297507001,0.007257454003987659,0.012314211946152362,0.0012899892709603833
rotmans_1990_upper,1990-2024,model_forcing,0.4605287220493871,0.3741262537799649,0.5469311903188092,0.04408289197419498
wang_1990_lower,1985-2024,model_time,0.01466666666666652,0.014666666666666151,0.01466666666666689,1.8851841856278567e-16
wang_1990_lower,1985-2024,model_forcing,0.33958163874691455,0.3281108415514067,0.3510524359424224,0.005852447548728502
wang_1990_median,1985-2024,model_time,0.023999999999999768,0.023999999999999258,0.024000000000000278,2.6020852139652106e-16
wang_1990_median,1985-2024,model_forcing,0.555679045222224,0.5411185373368228,0.5702395531076252,0.007428830553776121
wang_1990_upper,1985-2024,model_time,0.03333333333333302,0.03333333333333198,0.03333333333333406,5.310377987684104e-16
wang_1990_upper,1985-2024,model_forcing,0.7717764516975334,0.7460212944261954,0.7975316089688714,0.01314038636292757
warrick_1990_lower,1990-2024,model_time,0.010030203983473361,0.009833301484647181,0.010227106482299542,0.000100460458584786
